OF,Tc_K,M_mean_kgkmol,gamma,c_star_mps,Me,epsilon,Cf,Isp_s
9.25,3070.8,27.9140,1.2404,1308.5,3.0057,6.0287,1.5211,202.97
9.30,3068.0,27.9254,1.2405,1307.6,3.0058,6.0275,1.5211,202.81
9.35,3065.2,27.9367,1.2406,1306.6,3.0059,6.0263,1.5210,202.65
9.40,3062.4,27.9478,1.2407,1305.6,3.0060,6.0251,1.5210,202.50
9.45,3059.5,27.9588,1.2408,1304.7,3.0061,6.0240,1.5209,202.34
9.50,3056.7,27.9696,1.2410,1303.7,3.0062,6.0228,1.5209,202.19
9.55,3053.9,27.9803,1.2411,1302.7,3.0063,6.0216,1.5208,202.03
9.60,3051.1,27.9909,1.2412,1301.8,3.0064,6.0204,1.5208,201.88
9.65,3048.3,28.0013,1.2413,1300.8,3.0065,6.0193,1.5207,201.72
9.70,3045.5,28.0116,1.2414,1299.9,3.0066,6.0181,1.5207,201.57
9.75,3042.7,28.0217,1.2416,1299.0,3.0067,6.0169,1.5206,201.42
9.80,3039.9,28.0318,1.2417,1298.0,3.0068,6.0158,1.5206,201.27
9.85,3037.2,28.0417,1.2418,1297.1,3.0069,6.0146,1.5206,201.12
9.90,3034.4,28.0514,1.2419,1296.2,3.0070,6.0134,1.5205,200.97
9.95,3031.6,28.0611,1.2420,1295.3,3.0071,6.0123,1.5205,200.82
10.00,3028.9,28.0706,1.2421,1294.3,3.0072,6.0111,1.5204,200.68
10.05,3026.1,28.0800,1.2423,1293.4,3.0073,6.0100,1.5204,200.53
10.10,3023.4,28.0893,1.2424,1292.5,3.0074,6.0088,1.5203,200.38
10.15,3020.6,28.0985,1.2425,1291.6,3.0075,6.0077,1.5203,200.24
10.20,3017.9,28.1075,1.2426,1290.7,3.0076,6.0065,1.5202,200.09
10.25,3015.2,28.1165,1.2427,1289.8,3.0077,6.0054,1.5202,199.95
10.30,3012.5,28.1253,1.2428,1289.0,3.0078,6.0042,1.5202,199.80
10.35,3009.8,28.1340,1.2430,1288.1,3.0079,6.0031,1.5201,199.66
10.40,3007.0,28.1426,1.2431,1287.2,3.0080,6.0020,1.5201,199.52
10.45,3004.4,28.1511,1.2432,1286.3,3.0081,6.0008,1.5200,199.38
10.50,3001.7,28.1595,1.2433,1285.5,3.0082,5.9997,1.5200,199.24
10.55,2999.0,28.1679,1.2434,1284.6,3.0083,5.9986,1.5199,199.10
10.60,2996.3,28.1761,1.2435,1283.7,3.0084,5.9974,1.5199,198.96
10.65,2993.6,28.1842,1.2437,1282.9,3.0085,5.9963,1.5198,198.82
10.70,2991.0,28.1922,1.2438,1282.0,3.0086,5.9952,1.5198,198.68
10.75,2988.3,28.2001,1.2439,1281.2,3.0087,5.9941,1.5198,198.54
10.80,2985.7,28.2079,1.2440,1280.3,3.0088,5.9930,1.5197,198.41
10.85,2983.0,28.2156,1.2441,1279.5,3.0089,5.9919,1.5197,198.27
10.90,2980.4,28.2233,1.2442,1278.6,3.0090,5.9908,1.5196,198.14
10.95,2977.8,28.2308,1.2443,1277.8,3.0091,5.9897,1.5196,198.00
11.00,2975.2,28.2383,1.2445,1277.0,3.0092,5.9886,1.5195,197.87
11.05,2972.6,28.2456,1.2446,1276.2,3.0093,5.9875,1.5195,197.73
11.10,2970.0,28.2529,1.2447,1275.3,3.0094,5.9864,1.5195,197.60
11.15,2967.4,28.2601,1.2448,1274.5,3.0095,5.9853,1.5194,197.47
11.20,2964.8,28.2672,1.2449,1273.7,3.0096,5.9842,1.5194,197.34
11.25,2962.2,28.2742,1.2450,1272.9,3.0097,5.9831,1.5193,197.21
11.30,2959.6,28.2812,1.2451,1272.1,3.0098,5.9820,1.5193,197.08
11.35,2957.1,28.2881,1.2452,1271.3,3.0099,5.9810,1.5192,196.95
11.40,2954.5,28.2948,1.2453,1270.5,3.0100,5.9799,1.5192,196.82
